Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
baseline,KOR,0.743365,0.78114,0.796664,0.77421,0.731402,0.689445,0.65051,0.612593,0.576018,0.540734,0.502868,0.460115,0.420277,0.391631,0.374256,0.365504,0.360034,0.353198,0.345812,0.3396,0.334435,0.329855,0.325902,0.322703,0.320214,0.318392,0.317369
baseline,CHN,10.3365,11.5139,12.2301,12.113,11.5405,10.9919,10.5997,10.3718,10.1638,9.7992,9.12486,8.0811,6.95935,6.07834,5.51512,5.24764,5.09904,4.90209,4.68295,4.50038,4.35009,4.2163,4.10044,4.00678,3.934,3.88071,3.85079
baseline,SEAS,1.51886,1.71165,1.9807,2.31363,2.47285,2.28591,2.06623,2.12682,2.29306,2.35258,2.42962,2.65059,2.81416,2.72789,2.56288,2.51807,2.54014,2.53747,2.51741,2.50526,2.49922,2.49249,2.48558,2.4803,2.47648,2.47361,2.47194
baseline,INDO,1.64013,1.68675,1.71473,1.75279,1.78568,1.79731,1.81243,1.8579,1.92812,2.00376,2.04294,2.0145,1.95276,1.89744,1.84439,1.78223,1.71427,1.64692,1.58415,1.52859,1.48005,1.43779,1.40197,1.37279,1.34992,1.33323,1.3239
baseline,JAP,1.0724,1.01732,0.963977,0.915593,0.878891,0.85993,0.858617,0.869519,0.871981,0.846758,0.795459,0.727321,0.661242,0.614031,0.584501,0.566596,0.552809,0.537147,0.521117,0.507389,0.495764,0.485527,0.476749,0.469628,0.464072,0.46001,0.457734
baseline,OCE,0.303225,0.27365,0.28551,0.372451,0.452255,0.44415,0.388985,0.347438,0.337884,0.360828,0.38761,0.392038,0.386963,0.389719,0.396534,0.4004,0.40249,0.405299,0.408446,0.411063,0.413212,0.415126,0.416786,0.418127,0.419168,0.419931,0.420359
baseline,RSAS,0.452158,0.538782,0.617916,0.690937,0.750943,0.79579,0.850656,0.93636,1.02896,1.10165,1.16091,1.2189,1.27722,1.33452,1.38823,1.43681,1.48385,1.53256,1.57947,1.6205,1.65596,1.68695,1.71333,1.73479,1.75158,1.76384,1.7707
baseline,RSAF,0.860255,0.647596,0.731723,1.35185,1.82126,1.50389,0.892078,0.588218,0.506352,0.452268,0.487031,0.678303,0.864849,0.894273,0.878433,0.951859,1.07552,1.18308,1.2726,1.35526,1.43027,1.49466,1.54852,1.59261,1.62736,1.65267,1.66677
relative_abatement,CAN,0,0.262674,0.447537,0.486253,0.519623,0.550914,0.580812,0.609073,0.636959,0.665569,0.691854,0.715383,0.737254,0.75862,0.778345,0.795363,0.810583,0.824993,0.836668,0.841597,0.838521,0.826499,0.803254,0.76831,0.720264,0.641897,0.494781
relative_abatement,USA,0,0.210428,0.446962,0.519797,0.555469,0.588918,0.620879,0.651089,0.680899,0.711483,0.739581,0.764733,0.788113,0.810952,0.832038,0.85023,0.866499,0.881903,0.894383,0.899652,0.896364,0.883512,0.858662,0.821306,0.769944,0.686166,0.528891
