Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
baseline,OCE,GtCO2/yr,0.388396,0.37104,0.368767,0.421515,0.491471,0.530084,0.524068,0.481018,0.45631,0.492091,0.530092,0.511892,0.478864,0.480973,0.503086,0.520333,0.533754
baseline,RSAS,GtCO2/yr,0.417044,0.549491,0.688778,0.827677,0.981662,1.17031,1.4075,1.69739,2.01068,2.32004,2.63917,2.98668,3.35951,3.75178,4.16637,4.60514,5.05907
baseline,RSAF,GtCO2/yr,0.786528,0.730875,0.809087,1.17487,1.49061,1.42059,1.15899,0.984752,0.958069,1.07354,1.28772,1.54822,1.80572,2.02774,2.24356,2.48582,2.74281
relative_abatement,CAN,fraction_of_baseline_emissions,0.000577308,0.000577297,0.000577298,0.000577298,0.000577299,0.0005773,0.000577301,0.000577301,0.0005773,0.0005773,0.0005773,0.000577301,0.000577301,0.000577302,0.000577302,0.000577302,0.000577302
relative_abatement,USA,fraction_of_baseline_emissions,0.000577308,0.000577233,0.000577234,0.000577243,0.000577247,0.000577251,0.000577254,0.000577256,0.000577259,0.000577261,0.000577263,0.000577265,0.000577266,0.000577267,0.000577268,0.000577268,0.000577269
relative_abatement,MEX,fraction_of_baseline_emissions,0.000577308,0.000577295,0.000577296,0.000577297,0.000577297,0.000577297,0.000577297,0.000577298,0.000577298,0.000577298,0.000577298,0.000577298,0.000577298,0.000577298,0.000577298,0.000577298,0.000577298
relative_abatement,RCAM,fraction_of_baseline_emissions,0.000577308,0.000577301,0.000577302,0.000577302,0.000577302,0.000577302,0.000577301,0.0005773,0.0005773,0.000577299,0.000577299,0.000577298,0.000577298,0.000577298,0.000577298,0.000577297,0.000577297
relative_abatement,BRA,fraction_of_baseline_emissions,0.000577308,0.000577275,0.000577277,0.000577277,0.000577277,0.000577277,0.00057728,0.000577284,0.000577288,0.000577291,0.000577292,0.000577291,0.00057729,0.000577292,0.000577294,0.000577294,0.000577294
relative_abatement,RSAM,fraction_of_baseline_emissions,0.000577308,0.000577276,0.000577278,0.000577281,0.000577282,0.000577281,0.00057728,0.000577282,0.000577285,0.000577286,0.000577286,0.000577286,0.000577286,0.000577287,0.000577287,0.000577288,0.000577288
relative_abatement,NAF,fraction_of_baseline_emissions,0.000577308,0.000577294,0.000577294,0.000577295,0.000577295,0.000577296,0.000577296,0.000577296,0.000577295,0.000577295,0.000577294,0.000577294,0.000577294,0.000577294,0.000577294,0.000577293,0.000577293
relative_abatement,WAF,fraction_of_baseline_emissions,0.000577308,0.000577252,0.000577252,0.000577261,0.000577271,0.000577273,0.000577274,0.00057728,0.000577285,0.000577283,0.000577278,0.000577274,0.000577269,0.000577266,0.000577263,0.000577261,0.000577258
relative_abatement,EAF,fraction_of_baseline_emissions,0.000577308,0.000577298,0.000577297,0.000577297,0.000577299,0.000577299,0.0005773,0.0005773,0.000577299,0.000577298,0.000577297,0.000577294,0.000577292,0.000577288,0.000577286,0.000577284,0.000577282
relative_abatement,SAF,fraction_of_baseline_emissions,0.000577308,0.000577296,0.000577297,0.000577298,0.000577299,0.000577299,0.000577298,0.000577298,0.000577298,0.000577299,0.000577299,0.000577299,0.0005773,0.0005773,0.0005773,0.0005773,0.0005773
relative_abatement,WEU,fraction_of_baseline_emissions,0.000577308,0.00057725,0.000577259,0.000577265,0.000577268,0.000577269,0.000577269,0.000577269,0.000577269,0.00057727,0.000577271,0.000577271,0.000577272,0.000577273,0.000577274,0.000577274,0.000577274
relative_abatement,CEU,fraction_of_baseline_emissions,0.000577308,0.000577292,0.000577294,0.000577295,0.000577296,0.000577296,0.000577297,0.000577297,0.000577297,0.000577298,0.000577298,0.000577299,0.000577299,0.0005773,0.0005773,0.000577301,0.000577301
relative_abatement,TUR,fraction_of_baseline_emissions,0.000577308,0.000577297,0.000577298,0.000577299,0.000577299,0.0005773,0.0005773,0.0005773,0.0005773,0.0005773,0.0005773,0.0005773,0.0005773,0.0005773,0.0005773,0.0005773,0.0005773
relative_abatement,UKR,fraction_of_baseline_emissions,0.000577308,0.000577299,0.0005773,0.0005773,0.0005773,0.0005773,0.000577301,0.000577301,0.000577301,0.000577301,0.000577302,0.000577302,0.000577302,0.000577303,0.000577303,0.000577303,0.000577303
relative_abatement,STAN,fraction_of_baseline_emissions,0.000577308,0.000577297,0.000577298,0.000577298,0.000577299,0.0005773,0.000577301,0.000577301,0.000577301,0.000577301,0.000577301,0.000577301,0.0005773,0.0005773,0.000577301,0.000577301,0.000577301
relative_abatement,RUS,fraction_of_baseline_emissions,0.000577308,0.000577267,0.000577271,0.000577274,0.000577277,0.000577279,0.000577282,0.000577283,0.000577284,0.000577285,0.000577285,0.000577287,0.000577288,0.000577289,0.000577289,0.00057729,0.000577291
relative_abatement,ME,fraction_of_baseline_emissions,0.000577308,0.000577265,0.000577269,0.00057727,0.00057727,0.000577271,0.000577272,0.000577272,0.000577272,0.000577273,0.000577273,0.000577274,0.000577274,0.000577274,0.000577274,0.000577274,0.000577274
relative_abatement,INDIA,fraction_of_baseline_emissions,0.000577308,0.000577241,0.000577241,0.000577242,0.000577242,0.00057724,0.000577239,0.000577238,0.000577238,0.000577238,0.000577238,0.000577239,0.000577241,0.000577242,0.000577243,0.000577245,0.000577246
relative_abatement,KOR,fraction_of_baseline_emissions,0.000577308,0.00057729,0.000577292,0.000577294,0.000577295,0.000577296,0.000577297,0.000577298,0.000577299,0.0005773,0.0005773,0.000577301,0.000577302,0.000577302,0.000577303,0.000577303,0.000577303
relative_abatement,CHN,fraction_of_baseline_emissions,0.000577308,0.000582881,0.000578493,0.000578082,0.000577622,0.00057747,0.000577364,0.000577312,0.000577277,0.000577259,0.000577251,0.00057725,0.000577253,0.000577257,0.00057726,0.000577262,0.000577264
relative_abatement,SEAS,fraction_of_baseline_emissions,0.000577308,0.00057727,0.000577271,0.000577272,0.000577274,0.000577276,0.000577278,0.000577278,0.000577278,0.000577278,0.000577278,0.000577278,0.000577278,0.000577279,0.00057728,0.00057728,0.000577279
relative_abatement,INDO,fraction_of_baseline_emissions,0.000577308,0.000577272,0.000577276,0.000577277,0.000577279,0.000577281,0.000577283,0.000577284,0.000577285,0.000577285,0.000577285,0.000577286,0.000577287,0.000577287,0.000577288,0.000577288,0.000577288
relative_abatement,JAP,fraction_of_baseline_emissions,0.000577308,0.000577287,0.00057729,0.000577292,0.000577293,0.000577294,0.000577295,0.000577295,0.000577296,0.000577296,0.000577297,0.000577298,0.000577298,0.000577299,0.000577299,0.000577299,0.0005773
relative_abatement,OCE,fraction_of_baseline_emissions,0.000577308,0.0005773,0.000577301,0.000577301,0.0005773,0.0005773,0.000577301,0.000577302,0.000577302,0.000577302,0.000577302,0.000577302,0.000577303,0.000577303,0.000577303,0.000577303,0.000577303
relative_abatement,RSAS,fraction_of_baseline_emissions,0.000577308,0.000577296,0.000577295,0.000577294,0.000577293,0.000577291,0.000577289,0.000577287,0.000577285,0.000577283,0.000577281,0.000577279,0.000577277,0.000577276,0.000577274,0.000577272,0.000577271
relative_abatement,RSAF,fraction_of_baseline_emissions,0.000577308,0.000577293,0.000577293,0.000577289,0.000577286,0.000577288,0.000577292,0.000577295,0.000577296,0.000577295,0.000577294,0.000577292,0.00057729,0.000577288,0.000577287,0.000577286,0.000577284
regional_emission_reduction,CAN,GtCO2/yr,8.94062e-10,0.000300342,0.00031522,0.000334864,0.00034265,0.000327696,0.000313409,0.000323295,0.000346775,0.000366794,0.000374757,0.000367003,0.000350994,0.000336611,0.000332214,0.000342572,0.000359739
regional_emission_reduction,USA,GtCO2/yr,9.99232e-11,0.00298253,0.0028718,0.00284763,0.00288333,0.00293451,0.0029816,0.00301274,0.00302207,0.00300806,0.00298065,0.00295525,0.00295627,0.00299938,0.00305709,0.00310021,0.00313562
regional_emission_reduction,MEX,GtCO2/yr,6.67443e-10,0.000341357,0.000361181,0.000393361,0.000423294,0.000437538,0.000445595,0.000459832,0.000480922,0.000505612,0.000526659,0.000538113,0.00054319,0.000547579,0.000557653,0.000577611,0.000602375
