Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
baseline,RSAM,1.54095,1.77075,1.9176,1.95354,2.0306,2.27947,2.56553,2.73498,2.82253,2.90024,3.00097,3.13642,3.27274,3.37596,3.45719,3.53528,3.61486,3.69573,3.77253,3.84005,3.89867,3.94982,3.99328,4.02865,4.05635,4.07657,4.08788
baseline,NAF,0.630862,0.734753,0.827868,0.901072,0.958013,1.00789,1.06929,1.15737,1.2641,1.37928,1.50717,1.65114,1.79668,1.92963,2.05518,2.18178,2.31151,2.44308,2.56785,2.67758,2.77291,2.85606,2.92671,2.98421,3.02924,3.06213,3.08051
baseline,WAF,2.56083,3.65185,4.08171,3.52914,2.85635,2.86954,2.96737,2.50059,2.03581,2.2134,2.75274,3.24579,3.69567,4.19629,4.79361,5.50422,6.27527,7.04141,7.75693,8.38969,8.94226,9.42331,9.83125,10.1635,10.4239,10.614,10.7202
baseline,EAF,0.372906,0.527631,0.633193,0.65393,0.636712,0.631769,0.620226,0.58415,0.578482,0.655271,0.782115,0.923758,1.11798,1.39278,1.66409,1.85119,1.99884,2.16482,2.33359,2.47845,2.60138,2.70955,2.80223,2.87744,2.93613,2.97904,3.00308
baseline,SAF,0.578294,0.572462,0.556043,0.571279,0.61496,0.671938,0.724764,0.760416,0.785875,0.811168,0.838501,0.867707,0.896942,0.92469,0.952432,0.981876,1.01264,1.04363,1.07286,1.09861,1.12103,1.14057,1.15716,1.17066,1.18124,1.18897,1.19328
baseline,WEU,3.19935,3.14478,3.12468,3.16329,3.29286,3.51967,3.73793,3.84302,3.84685,3.79348,3.73889,3.71686,3.66045,3.51217,3.35295,3.26784,3.21988,3.15678,3.08681,3.02846,2.98036,2.93757,2.90052,2.87057,2.84729,2.83025,2.82068
baseline,CEU,0.812224,0.800418,0.791582,0.815494,0.854994,0.88536,0.898551,0.893415,0.879662,0.867098,0.855035,0.84052,0.822027,0.800166,0.782661,0.775957,0.774255,0.770624,0.765848,0.762066,0.759123,0.756445,0.754079,0.75218,0.750716,0.749642,0.749035
baseline,TUR,0.472509,0.538459,0.589001,0.621609,0.647871,0.679908,0.717892,0.758683,0.797858,0.832427,0.866431,0.904928,0.950042,1.00156,1.05291,1.09827,1.14132,1.18625,1.22973,1.2677,1.30046,1.32911,1.35351,1.37335,1.38887,1.40021,1.40656
baseline,UKR,0.425941,0.440481,0.461729,0.499528,0.534512,0.548676,0.558655,0.582114,0.606204,0.615418,0.614151,0.610784,0.609741,0.614128,0.625727,0.644888,0.667576,0.68946,0.709426,0.727233,0.742906,0.756511,0.768016,0.777397,0.784756,0.790127,0.793126
baseline,STAN,0.544784,0.615075,0.679673,0.723942,0.756736,0.79095,0.832161,0.880988,0.925527,0.956767,0.989802,1.03854,1.08806,1.12092,1.1385,1.14684,1.15192,1.15835,1.16535,1.17122,1.17609,1.18041,1.18414,1.18716,1.18951,1.19123,1.1922
baseline,RUS,1.99201,2.20734,2.38772,2.48762,2.51742,2.50078,2.45861,2.41694,2.42502,2.50867,2.57679,2.54816,2.4981,2.51495,2.58266,2.66543,2.75284,2.84053,2.92302,2.99578,3.05916,3.1144,3.16127,3.19944,3.22935,3.25118,3.26338
baseline,ME,2.10267,2.2401,2.41244,2.68022,2.97273,3.20853,3.39446,3.55305,3.68121,3.78237,3.91174,4.11944,4.38364,4.67181,4.98068,5.31193,5.65799,6.00649,6.33529,6.625,6.87714,7.09692,7.28352,7.43545,7.55445,7.64134,7.68991
baseline,INDIA,3.00527,3.65984,4.20252,4.58107,4.93131,5.39155,5.92225,6.4556,6.98885,7.52773,8.04712,8.52645,8.99436,9.48657,10.0178,10.5925,11.195,11.8009,12.3721,12.8756,13.3138,13.6958,14.0201,14.2842,14.491,14.642,14.7264
