Variable,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140
relative_abatement,WAF,0,0.0980028,0.120564,0.139516,0.157286,0.174166,0.217555,0.206996,0.198415,0.255722,0.280823,0.308204,0.337771,0.369527,0.403882,0.441243,0.480756,0.342102,0.340937,0.338628,0.335691,0.332529,0.328278,0.324215,0.320715
relative_abatement,EAF,0,0.0641461,0.0775465,0.0886464,0.0991893,0.109454,0.120319,0.131938,0.144438,0.158054,0.172847,0.188834,0.205983,0.22437,0.244384,0.26635,0.289631,0.205504,0.204413,0.202714,0.200702,0.1986,0.19589,0.193329,0.191135
relative_abatement,SAF,0,0.3075,0.400317,0.471563,0.543427,0.612967,0.684723,0.76025,0.83961,0.923752,1.01325,1.10832,1.20925,1.31619,1.43017,1.55508,1.69778,1.28344,1.31378,1.34227,1.36843,1.39302,1.41075,1.42476,1.43593
relative_abatement,WEU,0,0.223126,0.462031,0.532843,0.599334,0.662549,0.726972,0.793853,0.864056,0.939389,1.01864,1.09988,1.18504,1.27721,1.3372,1.35623,1.37441,1.19093,1.1993,1.20556,1.21001,1.21341,1.21233,1.21021,1.20813
relative_abatement,CEU,0,0.227309,0.424273,0.501469,0.577201,0.647409,0.717742,0.790881,0.869004,0.954955,1.04625,1.13872,1.23433,1.33776,1.44745,1.55759,1.65472,1.26108,1.27848,1.29437,1.30853,1.32179,1.32992,1.33597,1.34077
relative_abatement,TUR,0,0.233738,0.284876,0.331325,0.377046,0.420705,0.465601,0.512607,0.561593,0.61291,0.666723,0.723128,0.782237,0.844052,0.909635,0.981442,1.06125,0.775964,0.780999,0.784721,0.787279,0.789198,0.78805,0.785967,0.7838
relative_abatement,UKR,0,0.229428,0.292305,0.355173,0.419716,0.483103,0.549898,0.622096,0.700411,0.785997,0.875841,0.966174,1.05861,1.15588,1.25646,1.35843,1.46573,1.12814,1.15316,1.17604,1.19665,1.21593,1.23007,1.24164,1.25152
relative_abatement,STAN,0,0.135333,0.179587,0.223271,0.265878,0.30396,0.339467,0.373479,0.408381,0.446864,0.48733,0.527126,0.567534,0.611343,0.658444,0.707812,0.761002,0.554947,0.556908,0.558262,0.559026,0.559568,0.558103,0.55618,0.554275
relative_abatement,RUS,0,0.258685,0.325767,0.390557,0.452772,0.506905,0.559085,0.613764,0.671778,0.732858,0.795342,0.858953,0.924438,0.99097,1.05912,1.13232,1.21365,0.921407,0.930794,0.939466,0.947213,0.954437,0.958087,0.960534,0.962431
relative_abatement,ME,0,0.220213,0.266816,0.310856,0.352848,0.389077,0.422875,0.455607,0.488549,0.523244,0.560255,0.599897,0.642328,0.687721,0.737151,0.79183,0.850499,0.612091,0.607155,0.601113,0.59453,0.587902,0.579723,0.572057,0.56549
relative_abatement,INDIA,0,0.15444,0.201273,0.24816,0.29704,0.346447,0.399011,0.455427,0.515564,0.579647,0.647589,0.719442,0.795988,0.884047,0.970067,1.05681,1.1496,0.866914,0.889109,0.909198,0.927029,0.943278,0.954723,0.963672,0.970843
relative_abatement,KOR,0,0.286269,0.527768,0.616111,0.702151,0.783378,0.865631,0.950339,1.03679,1.12502,1.21619,1.31187,1.41217,1.51554,1.61891,1.64259,1.66462,1.40953,1.42605,1.44328,1.46061,1.47866,1.49257,1.50448,1.51494
relative_abatement,CHN,0,0.326697,0.561109,0.676468,0.787206,0.891959,0.994064,1.09202,1.18753,1.28467,1.38494,1.48993,1.60134,1.71827,1.83634,1.95126,2,1.5941,1.61767,1.64487,1.67454,1.70749,1.73712,1.76483,1.78971
